file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0765_0320_2280359_to_2285355,རང་ཕར་བདམ་ཚུར་བདམ། སུང་ཀང་ཡན་མ་གཏོགས་ཁྱོ་ག་གཞན་ད་ཡོད་མ་རེད།  ,rang phar bdam tshur bdam/_sung kang yan ma gtogs khyo ga gzhan da yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0320_2280359_to_2285355.wav,STT_MV,3,61,4.996,wav16k/STT_MV0765_0320_2280359_to_2285355.wav,རང་ཕར་བསྡམས་ ཚུར་བསྡམ། སུང་ཀང་ཡའ་མ་གཏོགས་ཁྱོ་ག་གཞན་དག་ཡོད་མ་རེད།
STT_MV0765_0323_2296487_to_2300100,མི་ཚོའི་ཨ་མ་གཟའ་སྤེན་པར་ནང་ལ་ཡོང་གི་མ་རེད་པེ། གུས་ཞབས་མཚོན་བྱེད་རེད་བ།  ,mi tsho'i a ma gza' spen par nang la yong gi ma red pe/_gus zhabs mtshon byed red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0323_2296487_to_2300100.wav,STT_MV,3,72,3.613,wav16k/STT_MV0765_0323_2296487_to_2300100.wav,མི་ཚོའི་ཨ་མ་གཟའ་སྤེན་པ་ནང་ལ་ཡོང་གི་མ་རེད་པེ། གུས་ཞབས་ཚོན་ཆེད་རེད་པ།
STT_MV0765_0327_2318138_to_2320251,ཇོ་ཀྲོས་ཙེ།  ,jo kros tse/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0327_2318138_to_2320251.wav,STT_MV,3,13,2.113,wav16k/STT_MV0765_0327_2318138_to_2320251.wav,ཧ་ཧ་། ཇོ་ཀྲུས་ཙི།
STT_MV0765_0329_2324014_to_2325468,ག་རེའི་ནོར་བུ་ཟེར་གི་རེད་ཨ།  ,ga re'i nor bu zer gi red a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0329_2324014_to_2325468.wav,STT_MV,3,29,1.454,wav16k/STT_MV0765_0329_2324014_to_2325468.wav,ག་རེའི་ནོར་བུ་ཟེར་གི་རེད་ཨ།
STT_MV0765_0328_2320251_to_2324014,རང་བློས་ཆོད་པ་འདུག་བེ་ཨ། འདི་རང་གི་ནོར་བུ་རེད་ད།  ,rang blos chod pa 'dug be a/_'di rang gi nor bu red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0328_2320251_to_2324014.wav,STT_MV,3,50,3.763,wav16k/STT_MV0765_0328_2320251_to_2324014.wav,རང་བློས་འཆོད་པ་འདུག་གེ་ཨ། འདི་རང་གི་ནོར་བུ་རེད་དང། ཧ་ཧ་ཧ།
STT_MV0765_0331_2334604_to_2335822,ཤིང་འབྲས་ཤིག་ཟོ་དང་།  ,shing 'bras shig zo dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0331_2334604_to_2335822.wav,STT_MV,3,22,1.218,wav16k/STT_MV0765_0331_2334604_to_2335822.wav,ཤིང་འབྲས་གཅིག་ཟོ་ད།
STT_CS-L-2016_2015-M_P-D_D-B02_B03-2_2-R_R-01_0268_1962482_to_1967517,ཨ་ནས་རཱ། པཱ་པ། ཨ་ནས་ཡོད་བ། སྤེའུ་སྤེའུ་གཉིས།  ,a nas rA/_pA pa/_a nas yod ba/_spe'u spe'u gnyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2015-M_P-D_D-B02_B03-2_2-R_R-01_0268_1962482_to_1967517.wav,STT_CS,3,46,5.035,wav16k/STT_CS-L-2016_2015-M_P-D_D-B02_B03-2_2-R_R-01_0268_1962482_to_1967517.wav,ཨ་ནས་རཱ། ཨ་ནས་རཱ། སྤྲེའུ། སྤྲེའུ་སྤྲེའུ།
STT_NS_M0506_0067_390383_to_392534,ད་ག་རེ་ལབ་དགོས་རེད་སྨན་ཞབས་པ་བྱེད་ཡ་ཡིན་པ་ཡིན་ན་རེད།  ,da ga re lab dgos red sman zhabs pa byed ya yin pa yin na red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0506_0067_390383_to_392534.wav,STT_NS,3,54,2.151,wav16k/STT_NS_M0506_0067_390383_to_392534.wav,ད་ག་རེ་ལབ་དགོས་རེད། སྨན་ཞབས་པ་བྱེད་ཡ་ཡིན་པ་ཡིན་ན་རེད།
STT_PC0164_0019_109645_to_113453,ད་བུ་གུ་བཟོ་ཡ་གི་ཆེད་དུ་འདྲ་བོ་ཅིག་བྱེད་བསྡད་མྱི་དེ་འགྲོ་བ་མི་ཟེར་མྱི་འདི་གིས་དེ་པུ་གུ་བྱེད་ཡ་གི་ཆེད་དུ་བྱེད་ཀི་ཡོད་མ་རེད།  ,da bu gu bzo ya gi ched du 'dra bo cig byed bsdad myi de 'gro ba mi zer myi 'di gis de pu gu byed ya gi ched du byed ki yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0164_0019_109645_to_113453.wav,STT_PC,3,124,3.808,wav16k/STT_PC0164_0019_109645_to_113453.wav,་བུ་གུ་བཟོ་ཡ་གི་ཆེད་དུ་འདྲ་བོ་ཅིག་བྱེད་བསྡད་མྱི་དེ། འགྲོ་བ་མི་ཟེར་མྱི་འདི་གས་དེ་བུ་གུ་བྱེད་ཡ་གི་ཆེད་དུ་བྱེད་ཀི་ཡོད་མ་རེད།
STT_MV0066_0028_202401_to_205415,མ་ཟད་རང་ལ་ནི་གཏད་དགོས་གསུངས་མ་སོང་ང་།  ,ma zad rang la ni gtad dgos gsungs ma song nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0066_0028_202401_to_205415.wav,STT_MV,3,39,3.014,wav16k/STT_MV0066_0028_202401_to_205415.wav,མ་ཟད་རང་ལ་ནི་སྟེར་དགོས་གསུངས་མ་སོང་ང་།
